threshold,tn,fp,fn,tp,coste_total
0.0,0,502,0,38,5020
0.05,390,112,9,29,2920
0.1,460,42,14,24,3220
0.15000000000000002,480,22,15,23,3220
0.2,489,13,15,23,3130
0.25,493,9,16,22,3290
0.30000000000000004,498,4,17,21,3440
0.35000000000000003,498,4,18,20,3640
0.4,501,1,20,18,4010
0.45,501,1,21,17,4210
0.5,501,1,22,16,4410
0.55,501,1,23,15,4610
0.6000000000000001,501,1,25,13,5010
0.65,501,1,26,12,5210
0.7000000000000001,501,1,26,12,5210
0.75,502,0,26,12,5200
0.8,502,0,29,9,5800
0.8500000000000001,502,0,32,6,6400
0.9,502,0,34,4,6800
0.9500000000000001,502,0,37,1,7400
1.0,502,0,38,0,7600
